VCO_V1 – BOM,,,,
Qty,Reference,Value,Manufacturer,Partnumber
2,"C1,C2",33n,Samsung Electro-Mechanics,CL10B333KB8NNNC
1,C3,18p,Samsung Electro-Mechanics,CL10C180JB81PNC
1,C4,360p,Murata Electronics,GRM1885C1H361JA01D
1,C5,100p,Samsung Electro-Mechanics,CL10C101JB8NNNC
6,C6-C11,100n,Samsung Electro-Mechanics,CL10B104JB8NNNC
2,"C12,C13",47u,Würth Elektronik,865080443007
5,"D1,D2,D3, D4,D5",SBA130AS_R1_00001,Panjit International Inc.,SBA130AS_R1_00001
1,H1,PINHEADER_02x05,Würth Elektronik,61201021621
5,J1-J5,Thonkiconn,Thonk,WQP-PJ398SM
1,Q1,"BCM847BS,115",Nexperia,"BCM847BS,115"
1,Q2,MMBFJ111,Onsemi,MMBFJ111
1,R16,30k,Bourns,CR0603-FX-3002ELF
3,"R19,R20,R36",1k,Bourns,CR0603-FX-1001ELF
1,R21,R,Vishay / Dale,TFPTL15L2201JL2B
7,"R15,R18,R22,R23,R33,R42,R44",10k,Bourns,CR0603-FX-1002ELF
1,R24,18k,Bourns,CR0603-FX-1802ELF
1,R27,2k2,Bourns,CR0603-FX-2201ELF
2,"R29,R37",1M,Bourns,CR0603-FX-1004ELF
1,R30,2M2,Yageo,RC0603FR-132M2L
1,R31,8k2,Bourns,CR0603-FX-8201ELF
4,"R17,R25,R28,R32",20k,Bourns,CR0603-FX-2002ELF
1,R35,680R,Bourns,CR0603-FX-6800ELF
1,R39,15k,Bourns,CR0603-FX-1502ELF
1,R40,390R,Bourns,CR0603-FX-3900ELF
4,"R4,R38,R41,R43",100k,Bourns,CR0603-FX-1003ELF
1,R45,7k5,Bourns,CR0603-FX-7501ELF
1,R46,560k,Bourns,CR0603-FX-5603ELF
1,RV1,RK09L1140A66,Alps,RK09L1140A66
2,"RV2,RV3",PTV09A-4025U-B103,Bourns,PTV09A-4025U-B103
1,TRIM1,3362P-1-101LF,Bourns,3362P-1-101LF
2,"TRIM2,TRIM3",3362P-1-104LF,Bourns,3362P-1-104LF
2,"U1,U2",TL074,Texas Instruments,TL074
1,U3,TL072,Texas Instruments,TL072
,,,,
,,,,
,,,,
Cable,,,,
1,,PINHEADER_FEMALE_02x08,Würth Elektronik,61201623021
1,,PINHEADER_FEMALE_02x05,Würth Elektronik,61201023021
1,,Flatband cable 10cm,,
