Qty,Reference,Value,Manufcaturer Name,Manufacturer Partnumber
8,"C1-C4,C6-C9",100n,Kemet,C0603C104M5RACTU
2,"C10,C11",47u,Würth Elektronik,865080342006
9,CON1-CON9,thonkiconn,,thonkiconn
2,"D2,D5",LED_L/LED_R,Lite-On,LTL-4291
6,"D1,D3,D4,D6,D7,D8",D,Comchip,CDBU0320
1,P1,CONN_02X05,Würth Elektronik,61201021621
2,"R2,R26",560R,Vishay / Dale,CRCW0603560RFKEA
26,"R1,R3-R8,R10,R11,R13-R19,R21-R24,R28-R33",100k,Vishay / Dale,CRCW0603100KFKEAC
3,"R9,R12,R25",1k,Vishay / Dale,CRCW06031K00FKEAC
1,R20,49.9k,Vishay / Dale,CRCW060349K9FKEAC
1,R27,18k,Vishay / Dale,CRCW0603-18K-E3
4,RV1-RV4,PTV112-4_Dual_Gang,Bourns,PTV112-4420A-A503
3,"U1,U2,U5",TL074,Texas Instruments,TL074IDR
1,U3,TL072,Texas Instruments,TlL072CDR
